[mine_patterns] lang=de  ai_docs=132  human_docs=46  ngrams=1-4  top=100  min_count=3
[mine_patterns] 100 candidates surfaced.
rank	ngram	n	ai_count	human_count	ai_freq_ppm	human_freq_ppm	llr
1	dass	1	261	33	8884.5	1664.9	122.6701
2	hinaus	1	105	1	3574.22	50.45	98.7854
3	darüber hinaus	2	104	1	3540.18	50.45	97.7732
4	ich	1	139	8	4731.59	403.61	95.7616
5	lässt sich	2	100	1	3404.02	50.45	93.7261
6	darüber	1	105	2	3574.22	100.9	92.0399
7	lässt	1	101	5	3438.06	252.26	72.9502
8	meine	1	63	0	2144.53	0.0	64.9708
9	rahmen	1	73	3	2484.94	151.35	55.4655
10	im rahmen	2	72	3	2450.9	151.35	54.5153
11	dass die	2	65	2	2212.62	100.9	52.6839
12	zusammenfassend	1	46	0	1565.85	0.0	47.4390
13	hedging	1	43	0	1463.73	0.0	44.3451
14	zusammenfassend lässt	2	40	0	1361.61	0.0	41.2513
15	zusammenfassend lässt sich	3	40	0	1361.61	0.0	41.2513
16	queens	1	39	0	1327.57	0.0	40.2200
17	bin	1	46	1	1565.85	50.45	39.5783
18	es lässt	2	38	0	1293.53	0.0	39.1887
19	es lässt sich	3	38	0	1293.53	0.0	39.1887
20	vorliegenden	1	37	0	1259.49	0.0	38.1574
21	mich	1	49	2	1667.97	100.9	37.2940
22	sich sagen	2	35	0	1191.41	0.0	36.0949
23	lässt sich sagen	3	35	0	1191.41	0.0	36.0949
24	überzeugt	1	34	0	1157.37	0.0	35.0636
25	substantivketten	1	34	0	1157.37	0.0	35.0636
26	rahmen der	2	41	1	1395.65	50.45	34.6494
27	im rahmen der	3	41	1	1395.65	50.45	34.6494
28	der vorliegenden	2	33	0	1123.33	0.0	34.0323
29	zusammenfassend lässt sich sagen	4	32	0	1089.29	0.0	33.0010
30	übergänge	1	31	0	1055.25	0.0	31.9697
31	rahmen der vorliegenden	3	31	0	1055.25	0.0	31.9697
32	im rahmen der vorliegenden	4	31	0	1055.25	0.0	31.9697
33	feststellen	1	30	0	1021.21	0.0	30.9385
34	sich feststellen	2	30	0	1021.21	0.0	30.9385
35	dass eine	2	30	0	1021.21	0.0	30.9385
36	lässt sich feststellen	3	30	0	1021.21	0.0	30.9385
37	es ist	2	37	1	1259.49	50.45	30.7270
38	wichtig	1	28	0	953.13	0.0	28.8759
39	umfassende	1	35	1	1191.41	50.45	28.7741
40	es	1	212	72	7216.53	3632.51	27.9589
41	ihre	1	67	10	2280.7	504.52	27.8126
42	implementierung	1	34	1	1157.37	50.45	27.8000
